,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/02  01:00:00,12.569683660399999,0.0,0.0,0.0,1.9101197470500002,2.3935639134,0.0,0.0,,,12.569683660399999,2.3287280474519666e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.1519624358620665,0.19042356021582096,0
1, 01/02  02:00:00,12.569683660399999,0.0,0.0,0.0,1.9101197470500002,2.3935639134,0.0,0.0,,,12.569683660399999,2.3287280474519666e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.1519624358620665,0.19042356021582096,0
2, 01/02  03:00:00,12.669633398199998,0.08575460059969998,0.0,0.014195137144599999,1.9101197470500002,2.3935639134,2.5271559721,2.5271559721,,,15.1967893703,2.8154399580738016e-05,0.8337046128283535,0.005642941973473381,0.0,0.0009340879049322359,0.1662953871716465,0.1662953871716465,0.12569232227322058,0.1575045790973379,0
3, 01/02  04:00:00,12.796258556,0.147059301925,0.0,0.0795155936647,1.9101197470500002,2.3935639134,4.19005742107,4.19005742107,,,16.98631597707,3.1469774027253106e-05,0.7533274768510017,0.008657515974830377,0.0,0.004681155924100252,0.24667252314899835,0.24667252314899835,0.11245050131108418,0.1409113027587086,0
4, 01/02  05:00:00,12.9776078826,0.276896328083,0.0,0.13102789404100001,1.9101197470500002,2.3935639134,8.024746233330001,8.024746233330001,,,21.00235411593,3.891010499044496e-05,0.6179120593322756,0.013184061489229815,0.0,0.0062387241600510455,0.3820879406677245,0.3820879406677245,0.09094788786563694,0.1139664582450076,0
5, 01/02  06:00:00,13.0355836352,0.292911789697,0.0,0.172988185041,1.9101197470500002,2.3935639134,8.35346645534,8.35346645534,,,21.38905009054,3.962651901186387e-05,0.6094512650173937,0.01369447396948917,0.0,0.008087698346057435,0.3905487349826064,0.3905487349826064,0.08930362680738274,0.11190604086053504,0
6, 01/02  07:00:00,26.853474824499997,12.400817818599998,0.0,1.8829733454799997,1.9101197470500002,2.3935639134,242.211614074,242.211614074,,,269.0650888985,0.000498484636556203,0.09980289503343925,0.04608854262500768,0.0,0.006998207583111303,0.9001971049665608,0.9001971049665608,0.007099099161729446,0.008895854617181233,0
7, 01/02  08:00:00,29.029625178000003,12.400817818599998,0.0,1.44586721104,7.640478988200001,4.7871278268,196.878480498,196.878480498,,,225.908105676,0.00041852965917656425,0.12850191935846086,0.054893195538478795,0.0,0.006400244943462451,0.8714980806415391,0.8714980806415391,0.033821181251274195,0.02119059788702648,0
8, 01/02  09:00:00,40.8327602975,12.400817818599998,0.0,0.953271311506,19.1011974705,8.377473696900001,173.79656970599999,173.79656970599999,,,214.6293300035,0.000397633985141253,0.19024781140971803,0.057777834084455165,0.0,0.004441477367005035,0.8097521885902819,0.8097521885902819,0.08899621254088858,0.039032287417397185,0
9, 01/02  10:00:00,58.0631723678,12.400817818599998,0.0,0.509161492066,34.3821554469,10.7710376103,145.00372169,145.00372169,,,203.0668940578,0.0003762127866361177,0.2859312574666808,0.06106764904312905,0.0,0.002507358446724825,0.7140687425333192,0.7140687425333192,0.16931443013607933,0.053041819841072584,0
10, 01/02  11:00:00,57.7423600906,12.400817818599998,0.0,0.18834921480900002,34.3821554469,10.7710376103,128.342535629,128.342535629,,,186.0848957196,0.000344751011701767,0.31030116585930995,0.06664064684371823,0.0,0.0010121682046285582,0.68969883414069,0.68969883414069,0.18476596563059247,0.05788238518041905,0
11, 01/02  12:00:00,57.5504115921,12.3940290729,0.0,0.0031894620082800005,34.3821554469,10.7710376103,110.72886261200001,110.72886261200001,,,168.2792742041,0.00031176334761592357,0.34199346214376425,0.07365154818690102,0.0,1.8953385812750857e-05,0.6580065378562358,0.6580065378562358,0.20431604313433807,0.06400691743676164,0
12, 01/02  13:00:00,57.545864381,12.392671323800002,0.0,0.0,34.3821554469,10.7710376103,101.55958923700001,101.55958923700001,,,159.105453618,0.0002947674280062303,0.3616837956991921,0.0778896702909622,0.0,0.0,0.6383162043008079,0.6383162043008079,0.21609664951805435,0.06769747589017555,0
13, 01/02  14:00:00,57.545864381,12.392671323800002,0.0,0.0,34.3821554469,10.7710376103,93.88457981219999,93.88457981219999,,,151.4304441932,0.0002805482875768671,0.3800151593531686,0.08183738342594452,0.0,0.0,0.6199848406468313,0.6199848406468313,0.22704916194417354,0.07112861398305054,0
14, 01/02  15:00:00,57.545864381,12.392671323800002,0.0,0.0,34.3821554469,10.7710376103,87.5229284255,87.5229284255,,,145.0687928065,0.00026876234577230735,0.3966798321521676,0.0854261697781546,0.0,0.0,0.6033201678478324,0.6033201678478324,0.2370058699858393,0.07424779238817372,0
15, 01/02  16:00:00,57.717889479300005,12.3994600694,0.0,0.16523635260800001,34.3821554469,10.7710376103,84.188828427,84.188828427,,,141.9067179063,0.00026290411361055597,0.4067311987118941,0.08737754105191324,0.0,0.0011644011999284234,0.593268801288106,0.593268801288106,0.24228701751528278,0.0759022389441213,0
