,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Gas:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
20, 01/02  21:00:00,44.635500039499995,8.6153878195,0.0,0.0,18.243253835999997,6.291858384,118.771366261,118.771366261,,,163.40686630049998,0.00031388203120854717,0.27315559651830507,0.05272353613131885,0.0,0.0,0.726844403481695,0.726844403481695,0.11164312889062593,0.03850424725990079,0
21, 01/02  22:00:00,22.3776491824,0.0,0.0,0.0,7.297301534400001,3.595347648,0.0,0.0,,,22.3776491824,4.298437475771179e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.3260977717060343,0.16066690556699484,0
22, 01/02  23:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
23, 01/02  24:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
24, 01/03  01:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
25, 01/03  02:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
26, 01/03  03:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
27, 01/03  04:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
28, 01/03  05:00:00,15.1300695746,0.0230703670139,0.0,0.0,1.8243253836000002,1.797673824,0.710654584985,0.710654584985,,,15.840724159585001,3.042784423685893e-05,0.9551374938528303,0.0014563959817418097,0.0,0.0,0.04486250614716959,0.04486250614716959,0.11516679194846824,0.113484320911696,0
29, 01/03  06:00:00,15.1311495172,0.0241503096394,0.0,0.0,1.8243253836000002,1.797673824,0.743922461795,0.743922461795,,,15.875071978995,3.049382165609521e-05,0.9531389550372233,0.0015212724497472721,0.0,0.0,0.04686104496277662,0.04686104496277662,0.11491761335090918,0.1132387825629125,0
30, 01/03  07:00:00,23.7223870271,8.6153878195,0.0,0.0,1.8243253836000002,1.797673824,191.21415371400002,191.21415371400002,,,214.93654074110003,0.0004128634219365646,0.11036926036543317,0.04008340224418887,0.0,0.0,0.8896307396345667,0.8896307396345667,0.008487739577969089,0.008363742236669625,0
31, 01/03  08:00:00,23.336370335199998,8.6153878195,0.0,0.0,7.297301534400001,3.595347648,141.61182422299999,141.61182422299999,,,164.9481945582,0.0003168427100052161,0.14147696734544155,0.052230870683826515,0.0,0.0,0.8585230326545584,0.8585230326545584,0.044239960030755206,0.021796829347722414,0
32, 01/03  09:00:00,33.150500039499995,8.6153878195,0.0,0.0,18.243253835999997,6.291858384,118.53280949,118.53280949,,,151.6833095295,0.00029136269713415686,0.21855074327114907,0.05679852217243746,0.0,0.0,0.7814492567288509,0.7814492567288509,0.12027199230151273,0.0414802287971989,0
33, 01/03  10:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,93.5190439895,93.5190439895,,,143.0618209218,0.00027480200774886664,0.34630327373912645,0.06022143269243942,0.0,0.0,0.6536967262608735,0.6536967262608735,0.22953613125579972,0.056545709790887355,0
34, 01/03  11:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,81.99191273470001,81.99191273470001,,,131.534689667,0.0002526599799737885,0.3766517947297784,0.06549897856840016,0.0,0.0,0.6233482052702215,0.6233482052702215,0.24965168495044165,0.061501131210936644,0
35, 01/03  12:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,70.1684379071,70.1684379071,,,119.71121483939999,0.00022994871710674663,0.41385242810178396,0.07196809280615919,0.0,0.0,0.5861475718982161,0.5861475718982161,0.27430894380993476,0.06757539148569003,0
36, 01/03  13:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,68.0366442068,68.0366442068,,,117.57942113909999,0.00022585383571089858,0.42135584996365477,0.073272922557662,0.0,0.0,0.5786441500363453,0.5786441500363453,0.27928234878747893,0.06880057861851387,0
37, 01/03  14:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,66.73405767310001,66.73405767310001,,,116.27683460540001,0.00022335174680680826,0.4260760718197189,0.07409375950710557,0.0,0.0,0.573923928180281,0.573923928180281,0.2824109979966291,0.06957131431598426,0
38, 01/03  15:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,64.7459307566,64.7459307566,,,114.28870768889999,0.00021953282946888056,0.4334879441209371,0.07538266897681221,0.0,0.0,0.566512055879063,0.566512055879063,0.28732372225422664,0.07078155288989829,0
39, 01/03  16:00:00,49.542776932299994,8.6153878195,0.0,0.0,32.8378569048,8.089532208,62.8550815283,62.8550815283,,,112.39785846059999,0.00021590076914042116,0.4407804348840574,0.0766508182406344,0.0,0.0,0.5592195651159426,0.5592195651159426,0.2921573182491818,0.07197229839424128,0
40, 01/03  17:00:00,55.28527693229999,8.6153878195,0.0,0.0,32.8378569048,8.089532208,66.4654064624,66.4654064624,,,121.75068339469999,0.00023386625464489577,0.45408596806863305,0.07076254177210674,0.0,0.0,0.5459140319313669,0.5459140319313669,0.26971394319277786,0.06644342341615267,0
41, 01/03  18:00:00,61.02777693229999,8.6153878195,0.0,0.0,32.8378569048,8.089532208,71.7942824207,71.7942824207,,,132.822059353,0.0002551328394141922,0.4594701906413529,0.06486413372497833,0.0,0.0,0.5405298093586471,0.5405298093586471,0.24723195126441402,0.06090503525849214,0
42, 01/03  19:00:00,49.1829877187,8.6153878195,0.0,0.0,21.8919046032,7.190695296,76.6552963341,76.6552963341,,,125.83828405279999,0.00024171797119990505,0.3908428034354275,0.06846396455855282,0.0,0.0,0.6091571965645726,0.6091571965645726,0.17396855629415975,0.057142350200697946,0
43, 01/03  20:00:00,49.1829877187,8.6153878195,0.0,0.0,21.8919046032,7.190695296,85.6030686693,85.6030686693,,,134.786056388,0.00025890540658098256,0.3648967039819021,0.06391898428053593,0.0,0.0,0.6351032960180979,0.6351032960180979,0.16241965370795608,0.05334895529030544,0
44, 01/03  21:00:00,44.635500039499995,8.6153878195,0.0,0.0,18.243253835999997,6.291858384,90.1288903074,90.1288903074,,,134.7643903469,0.0002588637891071109,0.33121138250692755,0.06392926052143998,0.0,0.0,0.6687886174930724,0.6687886174930724,0.13537147156633614,0.04668784066624713,0
45, 01/03  22:00:00,22.3776491824,0.0,0.0,0.0,7.297301534400001,3.595347648,0.0,0.0,,,22.3776491824,4.298437475771179e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.3260977717060343,0.16066690556699484,0
46, 01/03  23:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
47, 01/03  24:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
48, 01/04  01:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
49, 01/04  02:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
50, 01/04  03:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
51, 01/04  04:00:00,15.1069992076,0.0,0.0,0.0,1.8243253836000002,1.797673824,0.0,0.0,,,15.1069992076,2.9018459897684797e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.12076027532206543,0.1189960891171312,0
52, 01/04  05:00:00,15.118305263900002,0.0113060562805,0.0,0.0,1.8243253836000002,1.797673824,0.351087198638,0.351087198638,,,15.469392462538002,2.9714567310619557e-05,0.9773043964403759,0.0007308662126117564,0.0,0.0,0.02269560355962412,0.02269560355962412,0.11793128838239393,0.11620843083226443,0
53, 01/04  06:00:00,15.1462031754,0.0392039678024,0.0,0.0,1.8243253836000002,1.797673824,1.2048864597600002,1.2048864597600002,,,16.35108963516,3.1408185857495635e-05,0.9263115494658463,0.0023976364069400674,0.0,0.0,0.07368845053415365,0.07368845053415365,0.11157209851489806,0.10994214233493248,0
54, 01/04  07:00:00,23.7223870271,8.6153878195,0.0,0.0,1.8243253836000002,1.797673824,208.45742510099998,208.45742510099998,,,232.1798121281,0.000445985365770177,0.10217247920767421,0.03710653282270146,0.0,0.0,0.8978275207923258,0.8978275207923258,0.007857381599540057,0.007742593154516698,0
