,Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,EWaterheat_scaled
20, 01/01  21:00:00,2.5639572164,4.6126266541100005,0.0,4.5665890801,0.0,0.11290589706599999,0.11290589706599999,0.11290589706599999,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747153,7.176583870510001,0.00022141142198679986,0.3572670873304785,0.01573254059357581,0.0,0.0,0.6427329126695215,0.6363179421430599,0.11520764513914111,0.13643138044263112,0.08757631186275484
21, 01/01  22:00:00,2.33101259212,5.02124071138,0.0,4.97627794455,0.0,0.122990500671,0.122990500671,0.122990500671,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.55045442542,7.3522533034999995,0.0002268311620274282,0.3170473725395634,0.016728273033309538,0.0,0.0,0.6829526274604366,0.6768371190613183,0.09441973436858209,0.12876676346900567,0.07486880588811586
22, 01/01  23:00:00,1.9067155535900002,5.58706394928,0.0,5.548154436749999,0.0,0.13703397845899998,0.13703397845899998,0.13703397845899998,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370621489,7.49377950287,0.00023119751761057172,0.25443977272880236,0.01828636383103054,0.0,0.0,0.7455602272711978,0.7403679858241283,0.06973761221637934,0.10663092826990295,0.05756382628068945
23, 01/01  24:00:00,1.4664240041699999,6.1045423444599995,0.0,6.0707307020700005,0.0,0.14976685332800002,0.14976685332800002,0.14976685332800002,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875838863,7.57096634863,0.00023357888032948644,0.19369046653276378,0.01978173543924165,0.0,0.0,0.8063095334672361,0.8018435722103726,0.047391412816347574,0.08484234254273683,0.039476577374707646
24, 01/02  01:00:00,1.0154235365100002,6.9592192335,0.0,6.931251855119999,0.0,0.170936707216,0.170936707216,0.170936707216,0.15401947611199998,0.0331798974413,0.0863692416722,0.40603492295000004,0.148239291123,7.97464277001,0.0002460330747056663,0.12733153895352817,0.02143503002527418,0.0,0.0,0.8726684610464718,0.8691614226515764,0.02347432718331849,0.0617462347622604,0.018588831549982282
25, 01/02  02:00:00,0.8448978196349999,7.3608570363300005,0.0,7.335106447749999,0.0,0.18043947320599998,0.18043947320599998,0.18043947320599998,0.08984472759230001,0.0193549373138,0.0722387554862,0.37385121008199995,0.0925247159543,8.205754855965,0.00025316332727609933,0.10296405808672425,0.02198938140040015,0.0,0.0,0.8970359419132757,0.8938978285974383,0.013307692811066568,0.054363062679593,0.011275588605604164
26, 01/02  03:00:00,0.7921984679530001,7.81722288207,0.0,7.79177085105,0.0,0.19095992900699998,0.19095992900699998,0.19095992900699998,0.0641747963185,0.013824954979000001,0.059715255047199996,0.36951670329899994,0.07736282930260001,8.609421350023,0.0002656172153752927,0.09201529763099395,0.022180344211691978,0.0,0.0,0.9079847023690061,0.9050284025219865,0.00905981344463895,0.04985607521056607,0.008985833792696572
27, 01/02  04:00:00,0.79145075013,8.12356860907,0.0,8.0984748471,0.0,0.198152179358,0.198152179358,0.198152179358,0.0641747963185,0.013824954979000001,0.0526110263622,0.364315295158,0.081728497954,8.9150193592,0.0002750455020070779,0.08877723291910179,0.022226780601829386,0.0,0.0,0.9112227670808982,0.9084079933873218,0.008749252038023549,0.04676673204191598,0.009167506503466977
28, 01/02  05:00:00,0.837114968257,8.32168540615,0.0,8.297539564400001,0.0,0.20258349218,0.20258349218,0.20258349218,0.0641747963185,0.013824954979000001,0.0631517086927,0.350553236121,0.126182779967,9.158800374406999,0.0002825666154231929,0.0914000670432999,0.02211899854768006,0.0,0.0,0.9085999329567002,0.9059635787658751,0.008516372025692307,0.04517021093392769,0.01377721697260706
29, 01/02  06:00:00,1.09139345231,8.58440396457,0.0,8.557459145800001,0.0,0.208704451095,0.208704451095,0.208704451095,0.0641747963185,0.013824954979000001,0.07598148797780001,0.391189237216,0.320874524723,9.67579741688,0.0002985169690179294,0.11279622808203897,0.021569741707376258,0.0,0.0,0.8872037719179611,0.8844190072511241,0.00806132538093706,0.04828240041268259,0.03316259228032363
30, 01/02  07:00:00,1.6895804252200002,9.35448631466,0.0,9.32335422627,0.0,0.227491116717,0.227491116717,0.227491116717,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.6843071472840001,11.044066739880002,0.00034073071053236073,0.1529853508688918,0.020598491667524258,0.0,0.0,0.8470146491311081,0.8441957519691068,0.01624396518793124,0.052674321811036144,0.06196151865082222
31, 01/02  08:00:00,2.09570200746,9.26786648651,0.0,9.23478631012,0.0,0.22545271152199997,0.22545271152199997,0.22545271152199997,0.30162151720400004,0.0649772920051,0.20740592903900001,0.48026335161899997,0.7843372060699999,11.36356849397,0.00035058795444907064,0.18442287812777033,0.019839957108687724,0.0,0.0,0.8155771218722296,0.8126660489634375,0.0322608878895422,0.060515258127137345,0.06902208637068567
32, 01/02  09:00:00,1.9968047286700001,8.081306354430001,0.0,8.053338976060001,0.0,0.196398570961,0.196398570961,0.196398570961,0.2887865675,0.062212303412,0.268690649238,0.40603492295000004,0.758037714613,10.078111083100001,0.00031092911977513403,0.19813283582659102,0.019487637052377903,0.0,0.0,0.801867164173409,0.799092102642593,0.03482784303703404,0.06694960659041041,0.07521624919218786
33, 01/02  10:00:00,1.7177490958700001,6.91542202537,0.0,6.8916195248,0.0,0.168067460007,0.168067460007,0.168067460007,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204,8.63317112124,0.000266349941517967,0.19897081521341098,0.01946763913824288,0.0,0.0,0.801029184786589,0.7982720865852758,0.020780247852892376,0.07825653395608378,0.07853848159407412
34, 01/02  11:00:00,1.6237824530399998,7.257367295880001,0.0,7.2330049999,0.0,0.177021122903,0.177021122903,0.177021122903,0.12193214168500001,0.026267417377599998,0.344876619894,0.353695753539,0.583345397637,8.88114974892,0.0002740005593561533,0.18283471160222933,0.019932230387684522,0.0,0.0,0.8171652883977707,0.814422141770504,0.016686978966954355,0.07865787574609362,0.06568354482570662
35, 01/02  12:00:00,1.50458714009,5.18866358368,0.0,5.16429382376,0.0,0.126031858642,0.126031858642,0.126031858642,0.12193214168500001,0.026267417377599998,0.361119725873,0.353804116208,0.498787880301,6.69325072377,0.00020649966435336569,0.22479168974601554,0.01882969334981255,0.0,0.0,0.7752083102539844,0.7715673649307419,0.022141641659454526,0.10681264927698933,0.07452102138197741
36, 01/02  13:00:00,1.40088686724,4.25981057066,0.0,4.235851327380001,0.0,0.10351580445900001,0.10351580445900001,0.10351580445900001,0.12193214168500001,0.026267417377599998,0.3518459739,0.34784416938100005,0.43283736044,5.6606974379,0.000174643408587853,0.2474760190962794,0.01828675805315647,0.0,0.0,0.7525239809037207,0.7482914205977087,0.026180441666138393,0.12360493577988695,0.07646360986228114
37, 01/02  14:00:00,1.3297198830799999,3.8217674469199996,0.0,3.79697970644,0.0,0.093438387066,0.093438387066,0.093438387066,0.12193214168500001,0.026267417377599998,0.317847783081,0.359872425705,0.39371772817,5.151487329999999,0.0001589332969087459,0.2581234889846851,0.018138137799904093,0.0,0.0,0.7418765110153149,0.7370647471707944,0.028768305067849213,0.1315581627929579,0.07642797175820679
38, 01/02  15:00:00,1.29113736979,3.71128065284,0.0,3.6850971558199994,0.0,0.0908881740358,0.0908881740358,0.0908881740358,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.35482730001999996,5.00241802263,0.0001543342219289347,0.25810265434618557,0.018168848269904468,0.0,0.0,0.7418973456538145,0.7366631775172151,0.031184814841820025,0.1344906429043868,0.0709311573752589
39, 01/02  16:00:00,1.3761407934299998,4.06452796005,0.0,4.03688899498,0.0,0.100536877624,0.100536877624,0.100536877624,0.16043699079600002,0.0345623831569,0.302863615842,0.401266965488,0.35982996052,5.440668753480001,0.00016785510028207202,0.25293596353385467,0.018478772036929075,0.0,0.0,0.7470640364661453,0.7419839688637349,0.03584106711664317,0.12941985870388062,0.06613708292566844
40, 01/02  17:00:00,1.69213224566,4.55296697523,0.0,4.52027492365,0.0,0.11275105095799999,0.11275105095799999,0.11275105095799999,0.269534103112,0.058064811941300004,0.35372074340899995,0.4746284928,0.406789043438,6.24509922089,0.00019267332813148707,0.2709536207206731,0.018054324994684654,0.0,0.0,0.7290463792793269,0.7238115462648818,0.05245695920370234,0.13263988399706328,0.0651373227309634
41, 01/02  18:00:00,2.30507325627,6.08787974717,0.0,6.04816412925,0.0,0.151109607863,0.151109607863,0.151109607863,0.500563357112,0.10783464094100001,0.44506993743600004,0.5765977648830001,0.50725394803,8.392953003439999,0.00025893875034278303,0.2746438893825839,0.018004343382009298,0.0,0.0,0.7253561106174162,0.7206240910405496,0.0724891462878009,0.12172922949768117,0.06043807797113759
42, 01/02  19:00:00,2.69637365546,4.92536528951,0.0,4.88224611554,0.0,0.12065829975600001,0.12065829975600001,0.12065829975600001,0.744427560815,0.160369475696,0.39828370447800004,0.6260111422160001,0.5999794725,7.62173894497,0.00023514531262602733,0.3537740763529409,0.01583080982268869,0.0,0.0,0.6462259236470591,0.6405685304614191,0.11871267738816019,0.1343912267383532,0.07871949916310886
43, 01/02  20:00:00,2.67088248113,4.86721404522,0.0,4.82270657865,0.0,0.118268188355,0.118268188355,0.118268188355,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615060928516,7.5380965263499995,0.00023256478306220947,0.35431789335593195,0.01568939691095549,0.0,0.0,0.6456821066440681,0.6397777690683393,0.12727309415730537,0.12755375205556982,0.081593665770398
44, 01/02  21:00:00,2.4706213020299996,5.04243028275,0.0,4.99639270874,0.0,0.122877344583,0.122877344583,0.122877344583,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560046755592,7.5130515847799995,0.00023179209842190637,0.3288439157046391,0.016355184467510633,0.0,0.0,0.6711560842953609,0.665028404551585,0.11004813670385714,0.12568206983975475,0.07454317986136914
45, 01/02  22:00:00,2.24270808659,5.23181777056,0.0,5.18685500373,0.0,0.127687219464,0.127687219464,0.127687219464,0.571155699981,0.123042103946,0.25834228302400003,0.652776721604,0.493060058566,7.474525857150001,0.0002306035055911745,0.3000468697883578,0.01708298585145125,0.0,0.0,0.6999531302116421,0.6939376627841009,0.09287516254465059,0.12189656200820279,0.065965396065136
46, 01/02  23:00:00,1.83316574732,5.60246209867,0.0,5.56355258613,0.0,0.136905677775,0.136905677775,0.136905677775,0.429971093908,0.0926271950982,0.20588085614799997,0.564894596568,0.386242327824,7.43562784599,0.0002294034270971734,0.2465381249962124,0.01841212075303535,0.0,0.0,0.7534618750037877,0.7482290267028895,0.07028300768011606,0.10365976736338084,0.0519448170112896
47, 01/02  24:00:00,1.41671453378,5.86512724367,0.0,5.83131560128,0.0,0.143690356372,0.143690356372,0.143690356372,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.270777710763,7.2818417774499995,0.0002246588309590137,0.1945544241523075,0.019732694112768595,0.0,0.0,0.8054455758476926,0.8008022941858051,0.04927308263655329,0.08607762900535007,0.037185332919692005
48, 01/03  01:00:00,0.9957993394720001,6.16418291456,0.0,6.13621553619,0.0,0.151088237926,0.151088237926,0.151088237926,0.15401947611199998,0.0331798974413,0.0863692416722,0.40603492295000004,0.148463563371,7.159982254031999,0.00022089923017270033,0.13907846474217667,0.02110176150798666,0.0,0.0,0.8609215352578233,0.8570154671451196,0.026145228704705578,0.06877170182159496,0.020735185940914273
49, 01/03  02:00:00,0.816587109015,6.20691691993,0.0,6.18116633135,0.0,0.15201662499000002,0.15201662499000002,0.15201662499000002,0.08984472759230001,0.0193549373138,0.0722387554862,0.37385121008199995,0.0926368535507,7.023504028945,0.00021668861430978008,0.11626491643625632,0.021643986301355396,0.0,0.0,0.8837350835637438,0.8800687386063154,0.015547747172361612,0.0635138762261388,0.013189549428451738
50, 01/03  03:00:00,0.754740337375,6.2601411984,0.0,6.23468916738,0.0,0.15342274277100001,0.15342274277100001,0.15342274277100001,0.0641747963185,0.013824954979000001,0.059715255047199996,0.36951670329899994,0.0774418849604,7.014881535775,0.000216422593803605,0.10759131619342688,0.021871038304576294,0.0,0.0,0.8924086838065731,0.8887803928810317,0.011119182968338272,0.061188767929603906,0.011039656844589074
51, 01/03  04:00:00,0.747106813768,6.262154634630001,0.0,6.237060872660001,0.0,0.153720016109,0.153720016109,0.153720016109,0.0641747963185,0.013824954979000001,0.0526110263622,0.364315295158,0.0818167248405,7.009261448398001,0.00021624920329354005,0.10658852138248527,0.021930986201710797,0.0,0.0,0.8934114786175147,0.8898313921626522,0.011128098426878797,0.05948220430777203,0.0116726598719184
52, 01/03  05:00:00,0.786090512429,6.163813527289999,0.0,6.13966768554,0.0,0.151379139392,0.151379139392,0.151379139392,0.0641747963185,0.013824954979000001,0.0631517086927,0.350553236121,0.126362676927,6.949904039719,0.00021441791301696794,0.11310811026115741,0.021781471877433376,0.0,0.0,0.8868918897388426,0.8834176199342517,0.011223140758739699,0.05952671323939992,0.018181931175571906
53, 01/03  06:00:00,1.0313042441299998,6.03147268536,0.0,6.00452786659,0.0,0.148046417893,0.148046417893,0.148046417893,0.0641747963185,0.013824954979000001,0.07598148797780001,0.391189237216,0.321443349746,7.062776929489999,0.00021790025886269138,0.14601965408589931,0.020961502730582542,0.0,0.0,0.8539803459141008,0.8501652999287895,0.011043779532639485,0.06614547363702938,0.045512318023784915
54, 01/03  07:00:00,1.6018828968799999,5.64444230868,0.0,5.613310220290001,0.0,0.138494390235,0.138494390235,0.138494390235,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.685606345433,7.24632520556,0.00022356307637324554,0.22106141408763968,0.019112361963652316,0.0,0.0,0.7789385859123604,0.7746423271181632,0.02475729843288698,0.0802805158554905,0.09461434947840103
55, 01/03  08:00:00,1.99792964532,5.15624462625,0.0,5.12316444985,0.0,0.126162920365,0.126162920365,0.126162920365,0.30162151720400004,0.0649772920051,0.20740592903900001,0.48026335161899997,0.785854635092,7.1541742715700005,0.00022072004273770502,0.2792676791869021,0.017634868200843146,0.0,0.0,0.7207323208130979,0.7161084222128837,0.05124264454472802,0.09612140472880729,0.10984560974631422
56, 01/03  09:00:00,1.9286567101199998,5.1625858644300004,0.0,5.13461848606,0.0,0.126773726424,0.126773726424,0.126773726424,0.2887865675,0.062212303412,0.268690649238,0.40603492295000004,0.7595145405920001,7.09124257455,0.00021877847878796878,0.271977257842204,0.017877505259654,0.0,0.0,0.728022742157796,0.7240788101774724,0.049497512914268606,0.09514913149488716,0.1071059877880708
57, 01/03  10:00:00,1.67997808651,5.224545962880001,0.0,5.20074346231,0.0,0.128970124632,0.128970124632,0.128970124632,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.6793624772229999,6.904524049390001,0.00021301785299261867,0.24331555288860532,0.018679075300403105,0.0,0.0,0.7566844471113947,0.7532370696528278,0.025982882291741678,0.09784918470342469,0.09839381720786679
58, 01/03  11:00:00,1.59547268588,5.94292904259,0.0,5.91856674662,0.0,0.14757255130799998,0.14757255130799998,0.14757255130799998,0.12193214168500001,0.026267417377599998,0.344876619894,0.353695753539,0.584484202073,7.53840172847,0.00023257419913489836,0.21164601507696754,0.0195761060001178,0.0,0.0,0.7883539849230324,0.7851222261434503,0.019659281158086902,0.09266849905262117,0.07753423379727832
59, 01/03  12:00:00,1.50843439521,5.207905832290001,0.0,5.18353607238,0.0,0.12891398545399999,0.12891398545399999,0.12891398545399999,0.12193214168500001,0.026267417377599998,0.361119725873,0.353804116208,0.499753008608,6.716340227500001,0.00020721201997354262,0.22459171872111652,0.019194082057690097,0.0,0.0,0.7754082812788835,0.7717798528365275,0.022065522895311065,0.10644544764926442,0.0744085307890993
60, 01/03  13:00:00,1.4235476239200002,5.07373526442,0.0,5.0497760211300005,0.0,0.125346970852,0.125346970852,0.125346970852,0.12193214168500001,0.026267417377599998,0.3518459739,0.34784416938100005,0.43366695072800004,6.49728288834,0.00020045367953814913,0.21909891386670166,0.01929221383864126,0.0,0.0,0.7809010861332983,0.7772135072327403,0.022809466912477892,0.10768965355297389,0.06674589334970425
61, 01/03  14:00:00,1.3521307274,4.647133784599999,0.0,4.6223460441199995,0.0,0.115105586223,0.115105586223,0.115105586223,0.12193214168500001,0.026267417377599998,0.317847783081,0.359872425705,0.39446137332900005,5.999264512,0.00018508885431341992,0.22538274895121013,0.01918661629150717,0.0,0.0,0.7746172510487898,0.7704854544876583,0.02470295463154934,0.11296721580293609,0.06575162214301113
62, 01/03  15:00:00,1.31316022355,4.53660780082,0.0,4.5104243038,0.0,0.112248467718,0.112248467718,0.112248467718,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.355489860094,5.849768024369999,0.00018047660000058375,0.22448073463416063,0.01918853316069551,0.0,0.0,0.7755192653658394,0.77104327641877,0.026667635220270228,0.11500941800379444,0.06076990721906192
63, 01/03  16:00:00,1.3873424841799997,4.47876926805,0.0,4.45113030298,0.0,0.111068662985,0.111068662985,0.111068662985,0.16043699079600002,0.0345623831569,0.302863615842,0.401266965488,0.360499865917,5.866111752229999,0.00018098083545457427,0.23650120263266416,0.018933949381850303,0.0,0.0,0.7634987973673358,0.7587871644770329,0.03324167390414462,0.12003361188308852,0.06145465363491519
64, 01/03  17:00:00,1.6917812359600002,4.50433361186,0.0,4.47164156028,0.0,0.11163553101500001,0.11163553101500001,0.11163553101500001,0.269534103112,0.058064811941300004,0.35372074340899995,0.4746284928,0.407553553688,6.1961148478200005,0.0001911620659638243,0.2730390377698091,0.018017020948905928,0.0,0.0,0.7269609622301908,0.7216847444093571,0.05287166605192288,0.1336884897316648,0.06577566163599936
65, 01/03  18:00:00,2.28714945263,5.32736750379,0.0,5.28765188587,0.0,0.132226607937,0.132226607937,0.132226607937,0.500563357112,0.10783464094100001,0.44506993743600004,0.5765977648830001,0.508213144318,7.614516956419999,0.00023492250038230803,0.30036697872235274,0.017365068420461822,0.0,0.0,0.6996330212776474,0.6944172448669698,0.07989974958819202,0.13417367223243298,0.06674266368131365
66, 01/03  19:00:00,2.67958691175,4.1741807922900005,0.0,4.1310616183199995,0.0,0.10273977985999999,0.10273977985999999,0.10273977985999999,0.744427560815,0.160369475696,0.39828370447800004,0.6260111422160001,0.60111124868,6.853767704040001,0.00021145192207039034,0.3909655283721534,0.014990262917641535,0.0,0.0,0.6090344716278465,0.6027431621128502,0.13201454668177054,0.14944989251535654,0.08770522647356005
67, 01/03  20:00:00,2.6498402994999997,3.92662857049,0.0,3.8821211039199994,0.0,0.09607185564,0.09607185564,0.09607185564,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.616215079607,6.57646886999,0.00020289671944611877,0.40292752111879593,0.014608425515157357,0.0,0.0,0.5970724788812041,0.5903047943608531,0.14588328294884165,0.14620497934394722,0.09369999186325303
