,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
0, 01/01  01:00:00,22.437542811700002,3.96121715823,0.00140558181794,0.0,4.589925329630001,8.1892,88.6279206269,78.3603986099,3.3398800000000004,6.92764201702,111.0654634386,0.00013845799285353415,0.2020208813525915,0.03566560689155966,1.2655435582070421e-05,0.0,0.7979791186474086,0.7055334411242947,0.04132630601381712,0.07373309169620682,0.062374403370223076
1, 01/01  02:00:00,14.689918240899999,0.0,0.0,0.0,1.52997510988,7.4902,3.9319372355400004,0.0,3.3398800000000004,0.592057235536,18.62185547644,2.3214639840780516e-05,0.7888536273673368,0.0,0.0,0.0,0.2111463726326632,0.0,0.08216018601452976,0.40222629852736486,0.03179367578515788
2, 01/01  03:00:00,14.7104178803,0.0,0.0,0.0,1.52997510988,7.4902,3.3598800000000004,0.0,3.3398800000000004,0.02,18.0702978803,2.2527049339284228e-05,0.814066153073055,0.0,0.0,0.0,0.1859338469269451,0.0,0.0846679517966308,0.4145034049585711,0.0011067886170157569
3, 01/01  04:00:00,14.7159459904,0.0,0.0,0.0,1.52997510988,7.4902,3.3598800000000004,0.0,3.3398800000000004,0.02,18.0758259904,2.2533940869783646e-05,0.8141230170181757,0.0,0.0,0.0,0.18587698298182445,0.0,0.08464205788950192,0.4143766378354171,0.001106450129063088
4, 01/01  05:00:00,14.8629774942,0.0,0.0,0.0,1.52997510988,7.4902,3.9319431625199996,0.0,3.3398800000000004,0.592063162524,18.794920656720002,2.343038879416827e-05,0.7907975652392999,0.0,0.0,0.0,0.20920243476070002,0.0,0.0814036482422163,0.3985225655806069,0.031501232345575864
5, 01/01  06:00:00,22.5771690967,3.96121715823,0.0,0.0,4.589925329630001,8.1892,90.59550148209999,82.2258014821,8.3497,0.02,113.1726705788,0.00014108490910747857,0.19949311950697446,0.03500153471656286,0.0,0.0,0.8005068804930255,0.7265517466502456,0.040556835021703604,0.07236022582234652,0.00017672111029733435
6, 01/01  07:00:00,38.5407576775,3.96121715823,0.013475122944200002,0.0,9.179850659269999,19.4245,98.1079110502,76.794679448,16.6994,4.6138316022,136.6486687277,0.00017035088867750853,0.28204268681387756,0.02898833333037092,9.861144692929207e-05,0.0,0.7179573131861224,0.561986297876263,0.0671784858553046,0.14214920775194106,0.03376418991240953
7, 01/01  08:00:00,42.8314644462,3.96121715823,0.011366375822,0.0,9.179850659269999,26.9147,94.0228489161,64.3607357477,25.0491,4.61301316839,136.8543133623,0.00017060725228925858,0.3129712421471914,0.028944773905249948,8.305456761095525e-05,0.0,0.6870287578528087,0.4702864978564118,0.06707753985778882,0.19666680091220523,0.03370747369999061
8, 01/01  09:00:00,41.7737823723,3.96121715823,0.0,0.0,9.179850659269999,26.9147,100.96422836299999,62.9533831834,33.3988,4.61204518,142.73801073529998,0.0001779420700048804,0.29266053349844734,0.02775166290901914,0.0,0.0,0.7073394665015527,0.44104147773324154,0.06431258647910922,0.1885601449911746,0.03231126142392997
9, 01/01  10:00:00,34.2858379484,3.96121715823,0.0,0.0,9.179850659269999,19.4245,98.3671937066,69.27871492850001,25.0491,4.03937877816,132.653031655,0.00016536979129467492,0.258462528301423,0.02986148984918953,0.0,0.0,0.741537471698577,0.5222550443376069,0.06920196654943157,0.14643087879452804,0.03045070834615747
10, 01/01  11:00:00,41.788936052800004,3.96121715823,0.005347930037239999,0.0,9.179850659269999,26.9147,121.552948014,65.2973350569,41.7485,14.5071129575,163.3418840668,0.00020362756086914928,0.25583723544972753,0.024251080369625394,3.274071477621086e-05,0.0,0.7441627645502725,0.399758674451166,0.056200225139535084,0.1647752513310855,0.08881440936218905
11, 01/01  12:00:00,42.5532759115,3.96121715823,0.0,0.0,9.179850659269999,26.9147,115.441337088,59.76312898,41.7485,13.9297081085,157.9946129995,0.0001969614704725479,0.26933371400222783,0.02507184949554284,0.0,0.0,0.7306662859977722,0.37826054854281094,0.05810230162277147,0.1703520106732068,0.08816571555223901
12, 01/01  13:00:00,41.855074748,3.96121715823,0.0,0.0,9.179850659269999,26.9147,102.64098893799999,49.3126598673,41.7485,11.579829070499999,144.49606368599999,0.00018013371874381283,0.2896623871979931,0.027414014314175374,0.0,0.0,0.7103376128020069,0.3412733787299552,0.06353010888392402,0.18626597371183423,0.08013940847318703
13, 01/01  14:00:00,34.3423652068,3.96121715823,0.0,0.0,9.179850659269999,19.4245,91.2551246592,46.2764419438,33.3988,11.5798827154,125.597489866,0.00015657411238284802,0.2734319391529232,0.03153898348172582,0.0,0.0,0.7265680608470768,0.36845037264018854,0.07308944365897745,0.15465675325776018,0.09219836103217174
14, 01/01  15:00:00,34.343513247800004,3.96121715823,0.0,0.0,9.179850659269999,19.4245,82.869958322,49.1539074546,25.0491,8.66695086738,117.2134715698,0.00014612230937046606,0.2929997105951138,0.03379489665461462,0.0,0.0,0.7070002894048861,0.4193537380669517,0.07831736861239065,0.16571900601402126,0.07394159349865238
