,Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) ,TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,EWaterheat_scaled
0, 01/01  01:00:00,1.4177038015799999,10.5388106758,0.0,10.5042684615,0.0,0.290398352834,0.290398352834,0.290398352834,0.247690813811,0.0559880573062,0.12283714786599999,0.500699824915,0.177319604851,11.95651447738,0.00022357556734510593,0.11857166269167246,0.024287876988180107,0.0,0.0,0.8814283373083275,0.8785393503577117,0.025398611919194056,0.052150396669584764,0.014830375958349995
1, 01/01  02:00:00,1.19434483742,11.7501099808,0.0,11.7183057001,0.0,0.32393667054499997,0.32393667054499997,0.32393667054499997,0.144486286704,0.0326596952687,0.10297568588099999,0.46101264904100003,0.106503849984,12.944454818219999,0.00024204912187676244,0.09226690920492821,0.02502513045887743,0.0,0.0,0.9077330907950718,0.905276109705746,0.013685086352447825,0.04356987936858931,0.008227758641027528
2, 01/01  03:00:00,1.1095203132,12.004575875599999,0.0,11.9731403403,0.0,0.3309580753,0.3309580753,0.3309580753,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0870952181485,13.114096188799998,0.00024522125584142064,0.08460516815086182,0.025236819261906317,0.0,0.0,0.9153948318491383,0.9129977520315565,0.009648614190565761,0.041342091545167374,0.006641343550833726
3, 01/01  04:00:00,1.0775360979200002,11.2491447146,0.0,11.2181516736,0.0,0.310076296558,0.310076296558,0.310076296558,0.103204501234,0.0233283533497,0.07634560719439999,0.449253485819,0.0925578537637,12.32668081252,0.00023049732941444093,0.08741494278212876,0.025154889728552135,0.0,0.0,0.9125850572178713,0.9100707517473734,0.010264957494087358,0.042639141956166984,0.007508741012397317
4, 01/01  05:00:00,1.1157755539,10.6808763769,0.0,10.6510541022,0.0,0.294388866703,0.294388866703,0.294388866703,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526000003,0.149838852298,11.796651930800001,0.0002205862881854918,0.09458408711600705,0.02495528972372043,0.0,0.0,0.9054159128839929,0.9028878841793282,0.01072616665524682,0.04427061028662422,0.012701811766335513
5, 01/01  06:00:00,1.4325878225400002,10.8029265099,0.0,10.7696472481,0.0,0.297626523132,0.297626523132,0.297626523132,0.103204501234,0.0233283533497,0.10659539224600001,0.48239294580799996,0.39667010676700004,12.235514332440001,0.0002287926020421534,0.11708439740385757,0.024324806873292054,0.0,0.0,0.8829156025961424,0.8801957118832716,0.010341441409473375,0.048137603540900284,0.03241956945898949
6, 01/01  07:00:00,2.1931840502,10.3519899813,0.0,10.313539067,0.0,0.28498167249,0.28498167249,0.28498167249,0.23737030985399998,0.0536552095187,0.17747427559700002,0.557357611348,0.859574971397,12.5451740315,0.00023458294696518525,0.17482292750129078,0.02271643835106888,0.0,0.0,0.8251770724987092,0.8221120760145272,0.023198205034219255,0.05857486592851496,0.06851837760390339
7, 01/01  08:00:00,2.81784824144,10.8369050346,0.0,10.7960480572,0.0,0.298295290103,0.298295290103,0.298295290103,0.48506112366400006,0.10964326682499999,0.28108645927700004,0.592234220449,0.991257881126,13.654753276040001,0.00025533103451040644,0.20636390745957153,0.021845527639552362,0.0,0.0,0.7936360925404284,0.7906439493230412,0.043552920984118254,0.063957265435064,0.07259434579937526
8, 01/01  09:00:00,2.7057629531800003,10.2571749065,0.0,10.222632692100001,0.0,0.282443070284,0.282443070284,0.282443070284,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.964401732543,12.96293785968,0.00024239473735596423,0.20873068917471413,0.0217885076162027,0.0,0.0,0.7912693108252858,0.7886046205541523,0.04392506141289611,0.06686372473256585,0.07439684915428631
9, 01/01  10:00:00,2.30933839656,9.17090196415,0.0,9.141503746489999,0.0,0.25257392816199997,0.25257392816199997,0.25257392816199997,0.23737030985399998,0.0536552095187,0.45251754537,0.42613603994000004,0.864315363713,11.480240360709999,0.00021466968962900935,0.20115766952610895,0.022000752617202125,0.0,0.0,0.7988423304738911,0.7962815637358868,0.02535012423334849,0.07653616629117854,0.07528721843412224
10, 01/01  11:00:00,2.17160779448,9.210139426489999,0.0,9.18004981143,0.0,0.253623268502,0.253623268502,0.253623268502,0.196088550257,0.0443238762875,0.47618294329099997,0.436158054049,0.7424611020890001,11.381747220969999,0.00021282796061687696,0.19079740151661237,0.022283333444158605,0.0,0.0,0.8092025984833876,0.8065589257259607,0.021122629230559478,0.08015825511034733,0.06523261215299812
11, 01/01  12:00:00,2.02781405423,7.24439144118,0.0,7.214292607489999,0.0,0.19930662799499999,0.19930662799499999,0.19930662799499999,0.196088550257,0.0443238762875,0.496972028135,0.43629168090400006,0.632061290651,9.27220549541,0.00017338151583378163,0.21869813554432374,0.02149506156800152,0.0,0.0,0.7813018644556762,0.778055729142465,0.02592828930112807,0.10065174995323298,0.068167308302635
