,Total Energy,Electricity,Gas,Cooling,Lights,Equipment,Gas_Heating,Elec_Heating,GWater_Heating,Heating
0,4565.929975269567,3426.5333093293593,1139.402183828104,400.322957713455,174.44932208658673,1046.6959325216387,1138.733625299422,804.127381310633,0.6685585286818239,1943.5295651387369
1,4440.658518155745,3515.784604184245,924.879280469896,376.50112821420277,196.15093190686724,1176.9055914436167,914.5300999354173,696.6129727325261,10.349180534611754,1621.4922532025553
2,5003.207920951277,3766.8424346050474,1236.371532680838,446.9118449555839,189.16857684685138,1135.0114610834269,1192.7016841742354,894.5603114660275,43.66984850699926,2130.9318441472624
3,4882.185069422332,3803.0320380932594,1079.158931408585,400.17812274700856,211.42150116086566,1268.5290069677912,1068.0419108303843,782.3646126769687,11.117020578153154,1861.5235440855063
4,5018.813170495704,3733.938780175337,1284.8804555137874,423.46709993663836,183.3853850762611,1100.3123104598044,1242.1706375661845,917.9201324666278,42.7098179518084,2202.800587984621
5,4866.9457428206715,3802.6838564421328,1064.2677680414527,365.3166475126675,199.92903605120796,1199.5742163096756,1044.511356847302,799.3147014188266,19.756411193538472,1863.5824694596672
6,5056.09628282952,3839.0391904845956,1217.0632025946718,380.65920894139583,172.66023667132768,1035.9614200300364,1175.4892979836054,941.2343225382066,41.57390461243033,2158.2975251342423
7,5017.087218069419,3983.35019681128,1033.7430843657605,364.26346669051384,218.84100812121613,1313.0460487298449,1023.5462107795157,982.7642869250935,10.196873584278636,2016.5073712888877
8,5362.185220933476,4169.744599986578,1192.4471011025478,458.0955468124614,227.46475939056404,1364.7885563459977,1182.1755548478177,1214.552433572624,10.271546252932676,2406.9995346733745
9,5180.716604840571,4280.6265170958795,900.0963485970474,488.4894365459682,293.0860561577731,1758.516336950022,824.5749927973203,865.4310839610914,75.52135580001838,1765.5274325584303
10,5242.330274231626,4248.338601617337,993.9980079262463,621.1370116716841,280.4591639051906,1682.7549834343988,981.0282235196788,980.4745806726007,12.96978441025908,1974.4725886025387
11,4952.494436526095,4116.149529549297,836.3508920245871,580.0290961084473,303.9128124087601,1823.4768744561034,759.3030724872393,759.2723796446357,77.04781954082716,1595.6232716727022
12,4903.826979411654,4108.691970464497,795.1409351807351,674.7872102939052,275.6094571006968,1653.6567426073439,782.7179111240004,820.7275551980885,12.423024057769055,1615.8684903798578
13,4782.42918997621,4087.9127414059444,694.5222280956378,649.9585688910892,307.6765646668189,1846.0593880044594,602.284191660069,604.8375146580983,92.2380364360947,1299.359742754262
14,4967.150185342553,4314.011648513817,653.1445395878757,810.1884227075639,310.33159532930307,1861.9895719793367,558.5479375359586,553.7779604212192,94.59660205343442,1206.9225000106123
15,4843.043559418209,4352.345538101481,490.70387409405487,744.1352254932771,348.05682738397456,2088.340964307788,475.5367402850792,440.92985601967183,15.167133808912967,931.6337301136639
16,5021.235140218466,4379.01786342533,642.2233449134869,671.0834490146117,256.74082386416467,1540.4449431879284,630.7175938177303,546.0790415537765,11.505751094464136,1188.302386465971
17,4853.784678713567,4192.264106307729,661.5264381637166,453.2590783396958,220.04007618355664,1320.2404571039378,606.9937513138319,507.8463488902816,54.53268685006349,1169.372787054177
18,5301.8641927540475,4457.617024350404,844.2535756618394,509.8444332020238,211.7533983252319,1270.5203899538867,834.1091530616825,769.99199057544,10.144422603063749,1614.2455662401862
19,5378.491140020962,4540.432342463214,838.0652974189632,463.4705832590798,236.66294498868763,1419.9776699349704,781.3319061742117,712.4421615189198,56.73339124207985,1550.5074589352112
20,5504.61325973782,4499.438844606212,1005.1810674103423,496.9334598877283,211.92436690412205,1271.5462014272669,994.6777760396387,920.7921903263821,10.50329136780869,1925.9732577338295
21,5247.49272029539,4269.223664635448,978.2753972106717,426.1743126394117,223.9101640550844,1343.4609843332235,925.5164304377823,781.7873753823742,52.758966772422404,1760.0627725925788
22,5379.627308059621,4136.925123452336,1242.7086858415507,466.30556245998343,199.65229930046257,1197.9137958051967,1232.5030755731768,980.3562133618149,10.205610270810318,2223.064899205802
23,5124.174368784888,3972.9401991218347,1151.2403621845945,456.59389543828456,209.24700972529905,1255.4820583543972,1139.9345157501768,870.5911191568006,11.305846433541921,2021.8314813405193
24,5149.805154116,3816.7583938403104,1333.0529837718186,452.2896447961864,165.22305145023307,1321.7844116016092,1296.226845207871,929.5799189139074,36.82613856308366,2262.632902684862
25,4902.032254471446,3745.6417067946486,1156.3964717414658,387.9567812469438,176.632259868805,1413.0580789501914,1146.7105348270504,827.1959666235854,9.685936911158942,1983.5924383617948
26,5194.74886618978,3693.82463695699,1500.9305070430155,416.1166906782148,154.47478665300753,1235.7982932238228,1458.670551759695,1004.5621727541042,42.25995527957339,2505.492679793372
27,5056.651184351509,3756.279306287426,1300.3779889844245,373.6792162803385,172.8614693884223,1382.8917551071463,1290.859816482121,909.2410906428613,9.518172501564612,2209.619079626547
28,5186.49242694814,3599.962424361454,1586.536270419074,381.1910120421791,144.64490172859246,1157.1592138285087,1554.1963993999723,1050.8397896118624,32.33987101765224,2637.376060029487
29,5049.890441720943,3761.1528647370424,1288.7436797339415,327.68390264170904,310.946635784943,1243.7865431404964,1272.440304082057,919.2626430633743,16.303375651812182,2208.0063227972437
30,5230.142438123919,2742.5829766085444,2487.5657820984347,205.18777860954754,79.56641585805113,318.2656634323631,2477.5867309680275,1812.5776005687878,9.97905113314617,4300.143382669961
31,5309.100193998842,2125.4336966018946,3183.67291339979,0.0,221.76802788183863,374.7756750493192,3169.5499330608327,1343.6164306915505,14.122980341019254,4527.289344093403
