"","Date_Time","Apartment_Midrise","HealthCare","Home_Avg","Home_High","Hospital","Hotel_Large","Hotel_Small","Office_Large","Office_Medium","Office_Small","Restaurant_Fast","Restaurant_Full","Retail_Only","School_Primary","School_Secondary","StripMall","Supermarket","Warehouse","Data_Center","Temperature","Cooling_Degree_Hour"
"1","2016-01-01 01:00:00",7.01578450559418e-05,8.02280618073409e-05,8.11303623973232e-05,7.73765114515966e-05,7.62399755904968e-05,5.9536803758309e-05,6.39246084316275e-05,6.02373652797859e-05,8.43708835165575e-05,7.02561539021967e-05,7.00272257249011e-05,7.03273116973131e-05,3.84554444261044e-05,6.81445412438386e-05,6.16938772116236e-05,5.09026707336187e-05,4.508833941951e-05,7.70189743133097e-05,0.00011384335154827,43.2833629784,0
"2","2016-01-01 02:00:00",6.76554918051761e-05,7.47410260582723e-05,6.73393897905977e-05,6.51858567965962e-05,8.07342509103332e-05,5.96943587364561e-05,6.43871066530135e-05,5.60269857965813e-05,7.6751465248929e-05,6.70880702943939e-05,4.92705024802827e-05,4.60434757765503e-05,3.84554444261044e-05,6.77117749028045e-05,5.93556089816821e-05,5.10543007253739e-05,4.52525789157775e-05,7.16789261988549e-05,0.00011384335154827,42.584,0
"3","2016-01-01 03:00:00",6.67214864417586e-05,8.85426784440502e-05,6.18789307643481e-05,6.05562396915491e-05,8.15484952267518e-05,5.25116811438248e-05,5.73041721383734e-05,6.07612953642886e-05,8.67241463917043e-05,7.02664521912507e-05,4.93891004562082e-05,4.61077290034685e-05,3.8761228699696e-05,6.89331294985963e-05,6.46626736165758e-05,5.12141087719069e-05,4.51780041051951e-05,7.48033216815696e-05,0.00011384335154827,42.3030905222,0
"4","2016-01-01 04:00:00",6.63588248541396e-05,7.62979121025788e-05,6.12949688648352e-05,5.88105809741745e-05,7.9576607980239e-05,5.25041086206821e-05,5.77138882710244e-05,5.54947725541361e-05,7.77949316442034e-05,7.07910267256239e-05,4.94234196539091e-05,4.61250560844846e-05,3.91486232316734e-05,6.76022527293538e-05,5.90022577688729e-05,5.14430610624343e-05,4.9834049485334e-05,7.08268997879694e-05,0.00011384335154827,41.3600000000001,0
"5","2016-01-01 05:00:00",7.50870830034765e-05,0.000109058847334341,6.46875041830039e-05,6.08976429544286e-05,7.85648380270931e-05,5.59408275860368e-05,6.05663042501294e-05,6.2062825120341e-05,8.83375460013589e-05,7.13481014433659e-05,5.01872912815246e-05,4.65859055849778e-05,3.97034398157016e-05,6.90525795593712e-05,6.55995895441963e-05,5.158588772542e-05,5.37600373454325e-05,7.49067499364826e-05,0.00011384335154827,39.1724450726,0
"6","2016-01-01 06:00:00",9.38722126502152e-05,0.000130110861578126,8.59616862238717e-05,7.81888628165106e-05,7.77810533403425e-05,6.18275180321721e-05,6.77559736482839e-05,6.07063199697493e-05,7.90000537371306e-05,7.55222082589531e-05,7.08608640497059e-05,7.0764950584456e-05,3.98808096996546e-05,6.86762077609018e-05,5.80927124956946e-05,5.21007416820689e-05,5.58277913497717e-05,7.13948286656892e-05,0.00011384335154827,40.892,0
"7","2016-01-01 07:00:00",0.000115581964516635,0.000167233133158129,0.00013493724907573,0.000119701259590777,8.5219711822638e-05,0.000103054431604665,0.000100926516516371,7.26949514138314e-05,8.95965680073636e-05,7.33094872190106e-05,0.000145747968253985,0.000120800566309016,8.21549958345167e-05,6.94236766067071e-05,6.56428293988318e-05,7.99320129207695e-05,7.29146737781976e-05,7.58602910610372e-05,0.00011384335154827,40.2260000000001,0
"8","2016-01-01 08:00:00",0.000111864929493034,0.000174419807504682,0.000170207192176674,0.000153794654764731,8.59053103968098e-05,0.000128863788611983,0.000119190816591548,6.63847127997442e-05,6.58236612971292e-05,5.07837293851437e-05,0.000135703736234884,0.000134249181197755,8.88126676775648e-05,6.12292796426829e-05,5.46704754807328e-05,7.86313389553151e-05,7.22743074869951e-05,4.89534494403655e-05,0.00011384335154827,40.0280000000001,0
"9","2016-01-01 09:00:00",9.54764594761659e-05,0.000173376435871433,0.000164851446709721,0.000147677179040296,9.40691949238328e-05,0.000143830610492488,0.000159515630815891,6.85249231036017e-05,6.47965188920277e-05,3.70896356450905e-05,0.000106540320210365,0.000130934025990606,0.000124922948485323,5.68150605186632e-05,5.67129754021411e-05,0.000111699813111565,9.12286737895385e-05,4.1074047172237e-05,0.00011384335154827,39.7500599624001,0
"10","2016-01-01 10:00:00",8.32270275021293e-05,0.00017807548806355,0.000143844906640143,0.000126040819448951,9.35128556680575e-05,0.000126643862630169,0.000135944164543351,5.84525201642046e-05,4.83158920293559e-05,2.90423999522661e-05,0.000106581294766318,0.00010746412084586,0.000177637334281347,5.63776676488867e-05,5.21483693784443e-05,0.000166933196113845,7.50262123061379e-05,3.59091839247988e-05,0.00011384335154827,38.858,0
