,Total Energy,Electricity,Gas,Cooling,Lights,Equipment,Gas_Heating,Elec_Heating,GWater_Heating,Heating
0,4725.984003543231,3541.3408999036733,1174.036720542795,409.0498243601118,175.2584183209271,1078.0807459492628,1173.3447263753208,827.0092010515141,-4.614053036827243,1995.7398743900076
1,4628.684930808424,3659.537158332082,958.9276924169817,387.33010630386013,199.34351996693098,1221.6253042693293,948.1403067645375,720.9961301238178,5.674548759537301,1674.8109856478927
2,5297.093924559204,3982.2923674536305,1303.1828336031954,467.3506672000963,194.46768468850527,1195.8689206228514,1256.947839402362,941.2937872453382,40.42243170338027,2238.6640583510807
3,5134.547661579045,3994.104077698021,1129.4326054998826,415.3549386770547,216.841392756239,1328.5913151369625,1117.740940558496,817.2968397425071,6.183073221977228,1941.2208535229806
4,5334.988580929384,3963.7487098386164,1360.4045023057975,444.72379068244624,189.51739750572025,1164.2089252209737,1315.0040493892504,970.3263968645081,39.9795448841624,2325.309991137921
5,5138.5025169432065,4009.40847255196,1118.1993434093956,380.2494500177502,205.63384863785853,1261.055368876809,1097.3406007787305,838.4629190367787,15.408287220599984,1951.2118070361091
6,5376.06842502321,4076.3810062131665,1288.4747775415044,399.13943871241526,177.97737123837388,1095.912072937253,1244.2698923134483,995.1902256201115,38.595316128544866,2278.0554340621043
7,5239.843932133544,4154.768874445794,1074.2003575857484,374.9961062168442,223.11694725267316,1365.9042645417883,1063.5507467926202,1020.9581214382708,5.2090945864570894,2089.717962817348
8,5567.985530942086,4324.038036726785,1232.4720590393451,469.9361412292877,230.45375961708498,1411.4279678040896,1221.8062915266028,1255.4257926906087,4.924685491102792,2482.156769708314
9,5173.807152468551,4269.7025720682805,893.6809713937507,482.6230139703294,287.4802404543308,1750.9560965015185,818.2603374151093,859.0619393571117,70.20570322450129,1747.5279799967223
10,5196.839777715989,4206.24748687995,980.1465426755946,610.5210602028156,272.79945586931484,1662.9268064629148,967.2893040075617,966.74046541483,7.631224422932717,1941.6609938453246
11,4828.946375035716,4008.6567500838905,810.6780457137543,560.7506155882372,291.522503502722,1773.1785584674597,735.5523098592662,735.522382699745,70.31702836834606,1541.391720927357
12,4863.044010851692,4069.679127252914,783.6854361130561,664.3326401331271,268.47467245165535,1635.061345796635,771.3657288743193,809.0592634841548,7.477045023049327,1587.9020373815235
13,4704.342496049949,4016.4813685926983,678.4975609248979,634.6615296011411,297.9682479775835,1811.2326170955218,587.7655715280599,590.2772043005737,86.04736355204872,1264.0901393806823
14,4857.903072829045,4214.233098137517,633.8828139546657,787.4726861971789,298.60967076814785,1816.1406032917962,541.3667621664101,536.7016955550976,87.61953605384586,1165.6879937753536
15,4697.513445198218,4216.716044176717,471.1140452156213,716.929959532034,332.7534437431626,2020.7432442410227,456.40267330276106,422.83570200905274,9.866855557154457,889.1052308689683
16,4794.175629744778,4176.00363578529,608.1864127834792,635.741467245137,240.1353543287994,1465.7905632177437,597.200950050741,516.3897406033633,5.989775283076231,1119.5804659371804
17,4643.808947718613,4006.1009518756714,628.1037268896043,428.8460562084131,205.7161564128318,1258.3216408727646,575.9301353730253,481.07187012349016,47.36865103809252,1104.370656534608
18,5107.7940240241705,4289.275169066993,808.1757748081397,486.007390757543,198.82772126699874,1218.8394597920724,798.4026800530775,736.6324710325974,4.598468320327554,1539.6336194060025
19,5282.260285596249,4453.87901628933,817.7539589816473,449.8614162055485,227.11177343103176,1389.254875319759,762.0356298745407,694.3784463254577,50.40148215832779,1506.8155583583261
20,5477.506326301683,4471.873280488179,994.8226363833744,489.07784484730036,205.47225146442142,1259.8760811649597,984.3710674510352,910.8493241294807,5.043054454276863,1900.2634460347927
21,5275.843957170161,4287.116824628112,978.3881697219945,423.3041846567598,219.94724012331008,1345.546787325126,925.3441559668652,780.8385592937998,47.87134443815307,1754.054059698818
22,5477.98288571694,4207.310004245762,1260.178687353276,469.5806070867337,198.0521296734352,1214.564813578212,1249.786488193923,993.0296318571087,5.141792054806876,2247.9579121058387
23,5254.672440177203,4069.1451361202885,1175.5846714472991,463.24754515550325,209.6014414168646,1282.481105596295,1163.990897427096,887.7880945629635,6.619282600817595,2058.398274590877
24,5413.196812231105,4007.0497120832974,1396.312838367189,470.50202491101817,168.75313898348773,1384.4679244093434,1357.6031920960456,972.2037617811894,33.78924447856251,2363.5961983557977
25,5255.875042214796,4011.3095043530134,1235.1651008403223,411.25722323846423,184.6786900788317,1510.3532810879306,1224.7800051399613,882.2019563903208,5.6817013457919545,2112.6636628760743
26,5689.103776165443,4040.274812562298,1638.6953336345373,450.6459133274948,164.1050270334655,1348.3319844764821,1592.4137370885112,1095.0904284289365,41.21134394063395,2728.7155094580817
27,5498.193469596855,4079.4053794264614,1409.0569427859032,401.43965723282497,183.0866832414249,1498.7757375985166,1398.7076519238772,983.7663182644594,5.480394908741093,2387.9543650970772
28,5773.457817293054,4002.36110368447,1761.0716133880337,419.31509826128666,155.9986066292248,1283.1011239183747,1725.0717765473678,1164.7493246013003,30.98379814121897,2920.804899289887
29,5557.12908673402,4134.177833245009,1413.4263328210075,355.83244974474417,337.4140001653773,1363.9534552798132,1395.485356854772,1006.8325978529824,13.175157760320424,2415.4931124680747
30,5871.05668388612,3073.6381515798857,2787.370536109067,225.30443732328928,84.2891303509591,352.2391583835509,2776.1686280289055,2029.6676778031124,6.174362423391132,4812.010668255409
31,5801.074328009981,2317.444325533193,3473.746547969834,4.9452325281958425,237.37319551219545,404.55947972958353,3458.3148447271788,1463.179025436949,10.48647071671269,4931.98034088084
