,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
0, 01/01  01:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
1, 01/01  02:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
2, 01/01  03:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
3, 01/01  04:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
4, 01/01  05:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
5, 01/01  06:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
6, 01/01  07:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
7, 01/01  08:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
8, 01/01  09:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
9, 01/01  10:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
10, 01/01  11:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
11, 01/01  12:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
12, 01/01  13:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
13, 01/01  14:00:00,4.6567919689699995,0.42685012181299997,0.0019230787554100001,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,
