,Unnamed: 0,Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),TE,TE_scaled,Electricity_scaled,EFans_scaled,ECooling_scaled,EHeating_scaled,Gas_scaled,GHeating_scaled,ELights_scaled,EEquipment_scaled,GWaterheat_scaled
10,10, 01/01  11:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
11,11, 01/01  12:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
12,12, 01/01  13:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
13,13, 01/01  14:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
14,14, 01/01  15:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
15,15, 01/01  16:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
16,16, 01/01  17:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
17,17, 01/01  18:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
18,18, 01/01  19:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
19,19, 01/01  20:00:00,4.65679196897,0.426850121813,0.00192307875541,0.0,0.2750026812,1.6500160872,0.11753086246,0.0975308624597,0.02,,4.77432283143,0.00011384335154826961,0.0005301448052106104,4.8594048475979066e-05,2.189297308071494e-07,0.0,1.3380107292805104e-05,1.1103240261805558e-05,3.1307226912568315e-05,0.0001878433614754099,2.276867030965392e-06
