Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  20:00:00,3.80845769281,7.78786384158,0.0,7.73289313858,0.0,0.21372830243,0.21372830243,0.21372830243,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.793411948613
 01/01  21:00:00,3.53098356319,8.66928073435,0.0,8.61242021178,0.0,0.2380638062,0.2380638062,0.2380638062,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.725180656148
 01/01  22:00:00,3.20287324671,9.28951088712,0.0,9.23397784757,0.0,0.255270154649,0.255270154649,0.255270154649,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.634107850304
 01/01  23:00:00,2.63214879481,10.1997331107,0.0,10.1516763817,0.0,0.280662727812,0.280662727812,0.280662727812,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.495194502349
 01/01  24:00:00,2.04027246915,10.8155015852,0.0,10.7737411819,0.0,0.297876593677,0.297876593677,0.297876593677,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.340626736806
 01/02  01:00:00,1.44982146296,12.4253309264,0.0,12.3907887121,0.0,0.342592209651,0.342592209651,0.342592209651,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.164912706309
 01/02  02:00:00,1.2081857117,12.6521589374,0.0,12.6203546568,0.0,0.348950095035,0.348950095035,0.348950095035,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.099936161172
 01/02  03:00:00,1.14030474046,13.3986501649,0.0,13.3672146296,0.0,0.369611179613,0.369611179613,0.369611179613,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0822729859179
 01/02  04:00:00,1.14114921139,13.7899522352,0.0,13.7589591942,0.0,0.380478409334,0.380478409334,0.380478409334,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0873618259852
 01/02  05:00:00,1.19392591536,13.9963478694,0.0,13.9665255947,0.0,0.386258361772,0.386258361772,0.386258361772,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.139236066886
 01/02  06:00:00,1.502894737,14.604237807,0.0,14.5709585452,0.0,0.403015548988,0.403015548988,0.403015548988,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.366367470041
 01/02  07:00:00,2.25909279976,15.6749331602,0.0,15.6364822459,0.0,0.432524534375,0.432524534375,0.432524534375,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.790337289921
 01/02  08:00:00,2.83136841418,15.2520229442,0.0,15.2111659669,0.0,0.420808184696,0.420808184696,0.420808184696,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.906953414696
 01/02  09:00:00,2.6657409759,13.3486602394,0.0,13.3141180251,0.0,0.368374213389,0.368374213389,0.368374213389,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.876292129646
 01/02  10:00:00,2.2433472389,11.6085254676,0.0,11.5791272499,0.0,0.32034593785,0.32034593785,0.32034593785,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.783088430988
 01/02  11:00:00,2.07486018905,10.3692358329,0.0,10.3391462179,0.0,0.286034319928,0.286034319928,0.286034319928,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.67270471249
 01/02  12:00:00,1.94485666213,8.54338938544,0.0,8.51329055175,0.0,0.235519238663,0.235519238663,0.235519238663,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.574128173765
 01/02  13:00:00,1.82401175357,7.58478426846,0.0,7.55519245953,0.0,0.209010741239,0.209010741239,0.209010741239,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.497239360357
 01/02  14:00:00,1.73412361956,6.8835926742,0.0,6.85297759712,0.0,0.189582724263,0.189582724263,0.189582724263,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.45161748492
 01/02  15:00:00,1.68128309101,6.32459064315,0.0,6.29225168187,0.0,0.174069508602,0.174069508602,0.174069508602,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.406259240049
 01/02  16:00:00,1.80677740325,6.98527287131,0.0,6.95113627677,0.0,0.192300620365,0.192300620365,0.192300620365,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.412063536412
 01/02  17:00:00,2.24832742935,7.75368678845,0.0,7.71330918001,0.0,0.213408110024,0.213408110024,0.213408110024,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.466754882444
 01/02  18:00:00,3.08337493472,8.79486323065,0.0,8.74581088944,0.0,0.242009377385,0.242009377385,0.242009377385,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.583788854296
 01/02  19:00:00,3.69246956394,8.19462780161,0.0,8.14137176418,0.0,0.225298901589,0.225298901589,0.225298901589,1.19717217884,0.270608895381,0.482732692333,0.771962340148,0.691924555641
 01/02  20:00:00,3.70894262941,8.6602982965,0.0,8.60532759351,0.0,0.238150880445,0.238150880445,0.238150880445,1.2694153222,0.286938743016,0.385424228339,0.79681693514,0.709426520271
